timestamp;prob_pause;prob_plank;prob_pull-up;prob_push-up;prob_squat
17:57:00.1764781020;0.9999605497143875;0;1.6204610346903792e-06;3.7939753383398056e-07;3.7450427043950185e-05
17:57:00.1764781020;0.9999999963276371;0;4.1640721426539073e-10;1.283323586287466e-10;3.1276232714816388e-09
17:57:01.1764781021;0.9999999266744249;0;1.7811041530535476e-10;5.925542174989307e-12;1.3536894272192512e-08
17:57:01.1764781021;0.9999580502847082;0;1.77192316375141e-10;2.994081024776385e-11;4.183029886917211e-05
17:57:02.1764781022;0.9633966195256027;0;1.4201019027382245e-08;8.630489212180237e-09;0.03660335764288902
17:57:02.1764781022;0.9974939805347025;0;1.1716493553137752e-08;2.869552817585941e-09;0.0025060048792511225
17:57:03.1764781023;0.9996731789144937;0;1.5403844866312966e-10;3.4046884755944973e-10;0.00032676098635420203
17:57:04.1764781024;0.9832930465401057;0;9.544760537494312e-09;1.9029622322364048e-08;0.0167069248855114
17:57:04.1764781024;0.9898399642924901;0;9.83006384625007e-11;3.880762822205952e-09;0.010160150937736034
17:57:05.1764781025;0.9997066669308595;0;2.033214525562488e-12;1.2819906594629948e-11;0.00029321384499780834
17:57:05.1764781025;0.9965160820111731;0;1.3856976677217858e-10;3.3129017307231834e-09;0.0034837357234209776
17:57:06.1764781026;0.9853928725006341;0;3.3879933580838184e-11;1.5722507740179026e-09;0.014607125893235207
17:57:06.1764781026;0.9969858226940974;0;1.0702930729189486e-11;4.4406120447426645e-10;0.0030140576418489218
17:57:07.1764781027;0.9590012172311787;0;2.3010912619803037e-10;1.0752022383542226e-08;0.04099871218204498
17:57:07.1764781027;0.9938272762350531;0;5.113996032202195e-11;6.164900145932961e-09;0.006172836758196354
17:57:08.1764781028;0.9999787204698687;0;5.137201861821206e-12;1.1973070104809302e-11;2.127951302099973e-05
17:57:08.1764781028;0.9875853169320353;0;1.6762678051174262e-11;1.3259979780855247e-09;0.012414920143783092
17:57:09.1764781029;0.8884380021192589;0;1.5684266108095812e-09;2.7389699397417644e-08;0.1115620881319046
17:57:09.1764781029;0.9972385195867949;0;2.83739589983234e-12;2.447222702262053e-10;0.002761301351711154
17:57:10.1764781030;0.9995953068933148;0;1.771517828264013e-11;3.6834824079789996e-10;0.00040481192991137505
17:57:10.1764781030;0.9511216146437755;0;4.037263856560003e-10;5.786371826133063e-09;0.0488784983754158
17:57:11.1764781031;0.9976265497087109;0;1.7335613847202502e-11;3.0391675287511077e-10;0.002373569179326296
17:57:11.1764781031;0.9931239109681063;0;1.0785004833646639e-11;3.4227196077374344e-10;0.0068760886788368225
17:57:12.1764781032;0.9862448327063819;0;5.844572742441656e-11;1.2633568635678216e-09;0.013755285181105137
17:57:12.1764781032;0.9680950384412579;0;3.6020213478593632e-09;3.493477285232416e-09;0.031905073672533035
17:57:13.1764781033;0.9984894317115918;0;9.185613381035296e-11;1.1701345448145162e-10;0.0015105680795386434
17:57:13.1764781033;0.9934744719705639;0;6.384153761196387e-10;1.1021238366382136e-09;0.00652564549818635
17:57:14.1764781034;0.9355519213053771;0;3.297762773968316e-08;9.463542838261674e-09;0.06444815546274185
17:57:14.1764781034;0.9999724888068146;0;3.065137033075871e-09;1.4428915007247411e-10;2.7627193048829213e-05
17:57:15.1764781035;0.9992840543290333;0;3.8980850547432055e-08;3.5089990912950952e-09;0.000715903181117028
17:57:15.1764781035;0.9734988891958332;0;2.1740140709880507e-07;7.0965930909494546e-09;0.02650088630616665
17:57:16.1764781036;0.9797706280676923;0;5.30413956312259e-07;2.7184674067370906e-08;0.020228754729032516
17:57:17.1764781037;0.9999990830684222;0;3.7730470126007276e-07;9.561484048958846e-09;6.492746820185857e-07
17:57:17.1764781037;0.9999988763729535;0;3.526698151290475e-07;1.126517457095133e-08;9.981106359191472e-07
17:57:18.1764781038;0.9999577780240259;0;7.415078016492771e-06;4.025942246244085e-07;3.440430373302661e-05
17:57:18.1764781038;0.9999540032791288;0;1.3205355571699329e-05;9.52829793732235e-07;3.1719326216261834e-05
17:57:19.1764781039;0.9999712414628448;0;1.782093386282213e-05;1.5344603525591083e-06;9.522352229396347e-06
17:57:19.1764781039;0.9999662972635406;0;2.3672413590247743e-05;1.106236254599935e-06;8.864481969794724e-06
17:57:20.1764781040;0.999958066796296;0;9.021815458254423e-06;7.332037625928933e-07;3.229739377275109e-05
17:57:20.1764781040;0.9998229964166967;0;1.9917244571843185e-05;2.461856638547033e-05;0.00013246777234598994
17:57:21.1764781041;0.9999874927323023;0;2.0229611319422247e-09;1.2446911568986252e-05;5.833316762959839e-08
17:57:21.1764781041;0.997331658500368;0;3.09785015417674e-08;0.002664582571014762;3.727950115717249e-06
17:57:22.1764781042;0.9991398756552794;0;1.5854320523089882e-08;0.0008599896682426333;1.1882215744662972e-07
17:57:22.1764781042;0.9989858199756034;0;8.097235770776479e-09;0.0010141697712242603;2.1559365404044684e-09
17:57:23.1764781043;0.9993767227242936;0;1.2105763058656294e-09;0.0006232757004909217;3.646391799616566e-10
17:57:23.1764781043;0.9546004601795763;0;1.2239885904818948e-07;0.04539928957819939;8.634075676638986e-09
17:57:24.1764781044;0.7464599473643654;0;4.5234605750010815e-07;0.2535395324230194;8.261912931573079e-09
17:57:24.1764781044;0.9437220455345345;0;1.594209351196696e-07;0.056277792900800705;2.1437296382487148e-09
17:57:25.1764781045;0.8082949872053256;0;6.830216534581268e-07;0.19170410931110382;4.1647982840231634e-08
17:57:25.1764781045;0.4869680634525819;0;2.8891981855849735e-06;0.5130289793014526;8.443135079971853e-09
